Tableau Exercise 1,Tableau Exercise 2,Tableau Exercise 3,Power BI Exercise 1,Power BI Exercise 2,Python Exercise,R Exercise,Final Project,Delivery Mode
30,30,60,30,30,45,45,200,Asynch
29,28,60,28,30,40,45,197,Asynch
28,30,55,26,30,45,40,198,Asynch
30,30,58,30,25,45,45,190,Asynch
22,30,53,30,19,45,45,198,Asynch
24,30,56,30,30,45,45,198,Asynch
30,26,54,30,26,38,45,192,Asynch
30,30,50,28,28,43,45,178,Asynch
26,30,58,28,30,45,45,198,Asynch
30,30,43,27,21,38,35,190,Asynch
25,28,46,28,30,43,40,161,Asynch
26,30,54,30,30,45,45,198,Asynch
30,30,55,30,28,45,45,182,Asynch
24,30,57,30,28,45,45,195,Asynch
20,28,48,26,19,43,45,161,Asynch
27,30,56,28,18,45,45,200,Asynch
26,26,60,28,26,40,45,200,Asynch
29,30,52,26,28,41,38,200,Asynch
30,28,51,30,20,45,45,200,Asynch
29,26,54,30,28,45,40,193,Asynch
28,30,48,30,25,45,45,190,Asynch
30,30,54,30,25,45,45,190,Asynch
30,30,55,30,28,45,45,190,Asynch
24,28,51,30,28,40,45,198,Asynch
30,30,60,30,30,45,45,185,Asynch
23,28,57,28,16,43,40,187,Asynch
28,30,49,30,30,38,40,190,Asynch
30,25,50,27,28,45,37,195,Asynch
20,30,56,28,28,45,45,185,Asynch
25,26,52,30,26,43,40,191,Asynch
22,28,41,26,24,35,33,195,Asynch
30,30,55,30,26,45,45,190,Asynch
29,30,51,30,28,40,45,190,Asynch
27,30,55,30,30,45,45,193,Asynch
25,30,60,30,30,45,40,180,Asynch
22,30,54,30,30,45,45,196,Asynch
26,28,50,27,30,45,45,170,Asynch
28,24,52,30,30,43,45,190,Asynch
28,0,31,30,30,36,40,193,Asynch
30,28,60,30,30,40,45,188,Asynch
27,27,47,28,30,45,40,183,Asynch
30,30,48,30,30,43,40,180,Asynch
24,30,30,25,24,45,45,150,Asynch
25,28,58,27,24,45,45,180,Asynch
30,30,60,30,30,45,45,200,F2F
24,30,50,30,30,45,45,185,F2F
30,30,60,30,29,45,45,200,F2F
30,30,55,30,29,45,40,150,F2F
25,30,49,30,30,45,45,195,F2F
30,28,54,27,26,45,45,182,F2F
24,28,52,25,30,45,45,180,F2F
27,30,60,30,30,45,40,198,F2F
24,30,55,30,30,45,45,178,F2F
28,30,58,30,30,45,45,193,F2F
27,26,40,27,23,33,23,200,F2F
27,28,50,30,30,40,40,195,F2F
0,30,47,30,30,45,45,188,F2F
26,30,47,30,29,45,45,195,F2F
30,30,57,30,30,45,45,195,F2F
24,30,53,30,28,45,45,183,F2F
29,28,58,30,28,40,45,197,F2F
30,30,54,30,29,43,35,195,F2F
25,30,60,30,27,40,45,177,F2F
28,0,53,28,28,45,45,175,F2F
25,28,54,30,30,45,45,193,F2F
28,30,57,30,30,45,40,190,F2F
28,30,60,28,28,45,45,198,F2F
26,30,57,28,28,45,0,190,F2F
30,30,49,30,30,43,40,185,F2F
0,28,56,30,30,45,45,195,F2F
22,26,54,25,23,45,45,140,F2F
24,26,51,30,28,40,30,200,F2F
30,30,56,30,29,45,45,188,F2F
28,28,55,28,30,43,35,188,F2F
29,28,50,26,30,45,45,193,F2F
30,30,39,30,28,45,40,200,F2F
30,30,60,28,28,45,40,200,F2F
27,30,54,28,30,40,35,190,F2F
27,30,55,30,30,45,40,198,F2F
23,28,52,26,28,45,40,195,F2F
29,28,54,27,28,45,45,193,F2F
23,26,60,30,28,45,40,190,F2F
28,30,57,30,28,45,45,195,F2F
30,27,49,30,30,40,35,198,F2F
29,30,57,30,30,45,45,195,F2F
22,30,49,25,30,45,45,197,F2F
22,30,49,28,30,45,40,190,F2F
24,30,41,30,30,45,35,185,F2F
26,30,55,30,30,45,45,180,F2F
27,30,58,30,30,45,45,170,F2F
28,30,50,22,30,45,45,190,F2F
30,30,60,30,30,45,45,200,Synch
28,26,53,30,30,45,45,173,Synch
28,30,52,30,30,45,45,183,Synch
28,30,51,30,30,40,45,182,Synch
26,30,55,30,30,40,45,193,Synch
26,30,55,30,30,45,45,190,Synch
28,27,46,28,30,45,45,180,Synch
28,30,57,28,28,45,45,188,Synch
30,30,41,28,30,45,40,185,Synch
14,30,52,30,28,43,45,185,Synch
27,26,55,30,30,40,45,193,Synch
25,22,50,28,30,43,40,193,Synch
0,22,49,26,30,45,40,170,Synch
14,30,51,30,30,45,45,182,Synch
30,30,43,30,30,45,32,178,Synch
29,30,52,30,30,45,45,195,Synch
20,24,47,28,24,38,40,188,Synch
28,30,55,30,28,45,45,188,Synch
28,28,52,30,30,45,40,198,Synch
28,30,51,30,20,45,45,185,Synch
27,30,53,30,30,45,45,173,Synch
28,30,53,30,28,43,45,170,Synch
21,24,49,28,23,30,30,196,Synch
27,30,50,30,28,45,45,195,Synch
0,28,46,28,26,45,45,160,Synch
30,30,60,28,26,40,40,195,Synch
25,28,51,30,30,40,45,180,Synch
30,30,39,26,25,35,35,170,Synch
26,30,50,26,30,45,35,130,Synch
30,30,54,28,30,45,45,188,Synch
29,25,50,28,30,38,45,173,Synch
22,30,49,30,30,45,45,193,Synch
23,30,51,30,30,45,40,192,Synch
29,28,58,28,26,40,45,180,Synch
0,30,58,30,0,45,45,180,Synch
28,18,51,30,30,40,45,198,Synch
28,30,57,30,26,45,45,190,Synch
28,30,57,28,30,45,45,178,Synch
26,28,51,27,21,31,35,198,Synch
22,28,57,28,30,45,40,185,Synch
28,26,52,26,28,45,45,198,Synch
0,28,57,30,28,45,45,183,Synch
23,30,52,26,28,45,40,192,Synch
28,26,57,30,30,45,45,198,Synch
26,30,57,29,30,45,45,188,Synch
28,30,53,28,30,45,45,183,Synch
26,28,56,30,30,45,40,200,Synch
